Category | Function,Role,Resource type,Unit,Region,Rate_low,Rate_high,Currency,Source,Notes,Estimated_Cost,Band,Anomaly_Flag
Account Management,Account Coordinator,FTE,Hour,UK-LON,75.0,75.0,GBP,OP_Content Lab,Exact Rate Match,31.91,K,
Account Management,Account Coordinator,FTE,Hour,EU-ES,75.0,75.0,EUR,OP_Content Lab,Exact Rate Match,31.91,K,
Account Management,Account Coordinator,FTE,Hour,EU-FR,100.0,100.0,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Account Management,Account Coordinator,FTE,Hour,EU-DE,95.0,95.0,EUR,OP_Content Lab,Exact Rate Match,40.43,L,
Account Management,Account Coordinator,FTE,Hour,EU-IT,90.0,90.0,EUR,OP_Content Lab,Exact Rate Match,38.3,L,
Account Management,Account Coordinator,FTE,Hour,LATAM-BR,375.0,375.0,BRL,OP_Content Lab,Exact Rate Match,159.57,O,
Account Management,Account Coordinator,FTE,Hour,APAC-CN,510.0,510.0,CNY,OP_Content Lab,Exact Rate Match,217.02,O,
Account Management,Account Coordinator,FTE,Hour,NA-CA,95.0,95.0,CAD,OP_Content Lab,Exact Rate Match,40.43,L,
Account Management,Account Coordinator,FTE,Hour,EU-CH,95.0,95.0,CHF,OP_Content Lab,Exact Rate Match,40.43,L,
Account Management,Account Coordinator,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Account Management,Account Coordinator,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Account Management,Account Coordinator,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Account Management,Account Coordinator,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Account Management,Account Director,FTE,Hour,UK-LON,145.0,145.0,GBP,OP_Content Lab,Exact Rate Match,61.7,N,
Account Management,Account Director,FTE,Hour,EU-ES,127.0,127.0,EUR,OP_Content Lab,Exact Rate Match,54.04,M,
Account Management,Account Director,FTE,Hour,EU-FR,190.0,190.0,EUR,OP_Content Lab,Exact Rate Match,80.85,N,
Account Management,Account Director,FTE,Hour,EU-DE,190.0,190.0,EUR,OP_Content Lab,Exact Rate Match,80.85,N,
Account Management,Account Director,FTE,Hour,EU-IT,140.0,140.0,EUR,OP_Content Lab,Exact Rate Match,59.57,M,
Account Management,Account Director,FTE,Hour,LATAM-BR,675.0,675.0,BRL,OP_Content Lab,Exact Rate Match,287.23,O,
Account Management,Account Director,FTE,Hour,APAC-CN,740.0,740.0,CNY,OP_Content Lab,Exact Rate Match,314.89,O,
Account Management,Account Director,FTE,Hour,NA-CA,160.0,160.0,CAD,OP_Content Lab,Exact Rate Match,68.09,N,
Account Management,Account Director,FTE,Hour,EU-CH,190.0,190.0,CHF,OP_Content Lab,Exact Rate Match,80.85,N,
Account Management,Account Director,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Account Management,Account Director,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Account Management,Account Director,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Account Management,Account Director,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Account Management,Account Executive,FTE,Hour,UK-LON,75.0,75.0,GBP,OP_Content Lab,Exact Rate Match,31.91,K,
Account Management,Account Executive,FTE,Hour,EU-ES,75.0,75.0,EUR,OP_Content Lab,Exact Rate Match,31.91,K,
Account Management,Account Executive,FTE,Hour,EU-FR,100.0,100.0,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Account Management,Account Executive,FTE,Hour,EU-DE,95.0,95.0,EUR,OP_Content Lab,Exact Rate Match,40.43,L,
Account Management,Account Executive,FTE,Hour,EU-IT,90.0,90.0,EUR,OP_Content Lab,Exact Rate Match,38.3,L,
Account Management,Account Executive,FTE,Hour,LATAM-BR,375.0,375.0,BRL,OP_Content Lab,Exact Rate Match,159.57,O,
Account Management,Account Executive,FTE,Hour,APAC-CN,510.0,510.0,CNY,OP_Content Lab,Exact Rate Match,217.02,O,
Account Management,Account Executive,FTE,Hour,NA-CA,95.0,95.0,CAD,OP_Content Lab,Exact Rate Match,40.43,L,
Account Management,Account Executive,FTE,Hour,EU-CH,95.0,95.0,CHF,OP_Content Lab,Exact Rate Match,40.43,L,
Account Management,Account Executive,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Account Management,Account Executive,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Account Management,Account Executive,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Account Management,Account Executive,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Account Management,Account Manager,FTE,Hour,UK-LON,95.0,95.0,GBP,OP_Content Lab,Exact Rate Match,40.43,L,
Account Management,Account Manager,FTE,Hour,EU-ES,100.0,100.0,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Account Management,Account Manager,FTE,Hour,EU-FR,140.0,140.0,EUR,OP_Content Lab,Exact Rate Match,59.57,M,
Account Management,Account Manager,FTE,Hour,EU-DE,140.0,140.0,EUR,OP_Content Lab,Exact Rate Match,59.57,M,
