Category | Function,Role,Resource type,Unit,Region,Rate_low,Rate_high,Currency,Source,Notes
Account Management,Account Coordinator,FTE,Hour,UK-LON,75.0,75.0,GBP,OP_Content Lab,Exact Rate Match
Account Management,Account Coordinator,FTE,Hour,EU-ES,75.0,75.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Coordinator,FTE,Hour,EU-FR,100.0,100.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Coordinator,FTE,Hour,EU-DE,95.0,95.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Coordinator,FTE,Hour,EU-IT,90.0,90.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Coordinator,FTE,Hour,LATAM-BR,375.0,375.0,BRL,OP_Content Lab,Exact Rate Match
Account Management,Account Coordinator,FTE,Hour,APAC-CN,510.0,510.0,CNY,OP_Content Lab,Exact Rate Match
Account Management,Account Coordinator,FTE,Hour,NA-CA,95.0,95.0,CAD,OP_Content Lab,Exact Rate Match
Account Management,Account Coordinator,FTE,Hour,EU-CH,95.0,95.0,CHF,OP_Content Lab,Exact Rate Match
Account Management,Account Coordinator,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Coordinator,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Coordinator,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Coordinator,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Director,FTE,Hour,UK-LON,145.0,145.0,GBP,OP_Content Lab,Exact Rate Match
Account Management,Account Director,FTE,Hour,EU-ES,127.0,127.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Director,FTE,Hour,EU-FR,190.0,190.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Director,FTE,Hour,EU-DE,190.0,190.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Director,FTE,Hour,EU-IT,140.0,140.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Director,FTE,Hour,LATAM-BR,675.0,675.0,BRL,OP_Content Lab,Exact Rate Match
Account Management,Account Director,FTE,Hour,APAC-CN,740.0,740.0,CNY,OP_Content Lab,Exact Rate Match
Account Management,Account Director,FTE,Hour,NA-CA,160.0,160.0,CAD,OP_Content Lab,Exact Rate Match
Account Management,Account Director,FTE,Hour,EU-CH,190.0,190.0,CHF,OP_Content Lab,Exact Rate Match
Account Management,Account Director,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Director,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Director,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Director,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Executive,FTE,Hour,UK-LON,75.0,75.0,GBP,OP_Content Lab,Exact Rate Match
Account Management,Account Executive,FTE,Hour,EU-ES,75.0,75.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Executive,FTE,Hour,EU-FR,100.0,100.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Executive,FTE,Hour,EU-DE,95.0,95.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Executive,FTE,Hour,EU-IT,90.0,90.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Executive,FTE,Hour,LATAM-BR,375.0,375.0,BRL,OP_Content Lab,Exact Rate Match
Account Management,Account Executive,FTE,Hour,APAC-CN,510.0,510.0,CNY,OP_Content Lab,Exact Rate Match
Account Management,Account Executive,FTE,Hour,NA-CA,95.0,95.0,CAD,OP_Content Lab,Exact Rate Match
Account Management,Account Executive,FTE,Hour,EU-CH,95.0,95.0,CHF,OP_Content Lab,Exact Rate Match
Account Management,Account Executive,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Executive,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Executive,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Executive,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Manager,FTE,Hour,UK-LON,95.0,95.0,GBP,OP_Content Lab,Exact Rate Match
Account Management,Account Manager,FTE,Hour,EU-ES,100.0,100.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Manager,FTE,Hour,EU-FR,140.0,140.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Manager,FTE,Hour,EU-DE,140.0,140.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Manager,FTE,Hour,EU-IT,120.0,120.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Manager,FTE,Hour,LATAM-BR,580.0,580.0,BRL,OP_Content Lab,Exact Rate Match
Account Management,Account Manager,FTE,Hour,APAC-CN,775.0,775.0,CNY,OP_Content Lab,Exact Rate Match
Account Management,Account Manager,FTE,Hour,NA-CA,122.0,122.0,CAD,OP_Content Lab,Exact Rate Match
Account Management,Account Manager,FTE,Hour,EU-CH,140.0,140.0,CHF,OP_Content Lab,Exact Rate Match
Account Management,Account Manager,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Manager,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Manager,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Manager,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Supervisor,FTE,Hour,UK-LON,110.0,110.0,GBP,OP_Content Lab,Exact Rate Match
Account Management,Account Supervisor,FTE,Hour,EU-ES,120.0,120.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Supervisor,FTE,Hour,EU-FR,175.0,175.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Supervisor,FTE,Hour,EU-DE,150.0,150.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Supervisor,FTE,Hour,EU-IT,127.0,127.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Supervisor,FTE,Hour,LATAM-BR,640.0,640.0,BRL,OP_Content Lab,Exact Rate Match
Account Management,Account Supervisor,FTE,Hour,APAC-CN,710.0,710.0,CNY,OP_Content Lab,Exact Rate Match
Account Management,Account Supervisor,FTE,Hour,NA-CA,145.0,145.0,CAD,OP_Content Lab,Exact Rate Match
Account Management,Account Supervisor,FTE,Hour,EU-CH,150.0,150.0,CHF,OP_Content Lab,Exact Rate Match
Account Management,Account Supervisor,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Supervisor,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Supervisor,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Supervisor,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Director,FTE,Hour,UK-LON,180.0,180.0,GBP,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Director,FTE,Hour,EU-ES,155.0,155.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Director,FTE,Hour,EU-FR,200.0,200.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Director,FTE,Hour,EU-DE,210.0,210.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Director,FTE,Hour,EU-IT,145.0,145.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Director,FTE,Hour,LATAM-BR,790.0,790.0,BRL,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Director,FTE,Hour,APAC-CN,815.0,815.0,CNY,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Director,FTE,Hour,NA-CA,177.0,177.0,CAD,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Director,FTE,Hour,EU-CH,210.0,210.0,CHF,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Director,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Director,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Director,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Director,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
Account Management,Assistant Account Executive,FTE,Hour,UK-LON,75.0,75.0,GBP,OP_Content Lab,Exact Rate Match
Account Management,Assistant Account Executive,FTE,Hour,EU-ES,75.0,75.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Assistant Account Executive,FTE,Hour,EU-FR,100.0,100.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Assistant Account Executive,FTE,Hour,EU-DE,95.0,95.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Assistant Account Executive,FTE,Hour,EU-IT,90.0,90.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Assistant Account Executive,FTE,Hour,LATAM-BR,375.0,375.0,BRL,OP_Content Lab,Exact Rate Match
Account Management,Assistant Account Executive,FTE,Hour,APAC-CN,510.0,510.0,CNY,OP_Content Lab,Exact Rate Match
Account Management,Assistant Account Executive,FTE,Hour,NA-CA,95.0,95.0,CAD,OP_Content Lab,Exact Rate Match
Account Management,Assistant Account Executive,FTE,Hour,EU-CH,95.0,95.0,CHF,OP_Content Lab,Exact Rate Match
Account Management,Assistant Account Executive,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Assistant Account Executive,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Assistant Account Executive,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Assistant Account Executive,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
Account Management,Global Account Head,FTE,Hour,UK-LON,300.0,300.0,GBP,OP_Content Lab,Exact Rate Match
Account Management,Global Account Head,FTE,Hour,EU-ES,250.0,250.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Global Account Head,FTE,Hour,EU-FR,315.0,315.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Global Account Head,FTE,Hour,EU-DE,300.0,300.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Global Account Head,FTE,Hour,EU-IT,225.0,225.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Global Account Head,FTE,Hour,LATAM-BR,1500.0,1500.0,BRL,OP_Content Lab,Exact Rate Match
Account Management,Global Account Head,FTE,Hour,APAC-CN,3100.0,3100.0,CNY,OP_Content Lab,Exact Rate Match
Account Management,Global Account Head,FTE,Hour,NA-CA,300.0,300.0,CAD,OP_Content Lab,Exact Rate Match
Account Management,Global Account Head,FTE,Hour,EU-CH,300.0,300.0,CHF,OP_Content Lab,Exact Rate Match
Account Management,Global Account Head,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Global Account Head,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Global Account Head,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Global Account Head,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Manager,FTE,Hour,UK-LON,110.0,110.0,GBP,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Manager,FTE,Hour,EU-ES,120.0,120.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Manager,FTE,Hour,EU-FR,175.0,175.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Manager,FTE,Hour,EU-DE,150.0,150.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Manager,FTE,Hour,EU-IT,127.0,127.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Manager,FTE,Hour,LATAM-BR,640.0,640.0,BRL,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Manager,FTE,Hour,APAC-CN,710.0,710.0,CNY,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Manager,FTE,Hour,NA-CA,145.0,145.0,CAD,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Manager,FTE,Hour,EU-CH,150.0,150.0,CHF,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Manager,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Manager,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Manager,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Manager,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
Account Management,Group Account Director,FTE,Hour,UK-LON,220.0,220.0,GBP,OP_Content Lab,Exact Rate Match
Account Management,Group Account Director,FTE,Hour,EU-ES,165.0,165.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Group Account Director,FTE,Hour,EU-FR,220.0,220.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Group Account Director,FTE,Hour,EU-DE,225.0,225.0,EUR,OP_Content Lab,Exact Rate Match
