48,445,,,,,,,,
Category | Function,Role,Resource type,Unit,Region,Rate_low,Rate_high,Currency,Source,Notes
Account Management,Account Coordinator,FTE,Hour,UK-LON,75,75,GBP,OP_Content Lab,Exact Rate Match
Account Management,Account Coordinator,FTE,Hour,EU-ES,75,75,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Coordinator,FTE,Hour,EU-FR,100,100,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Coordinator,FTE,Hour,EU-DE,95,95,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Coordinator,FTE,Hour,EU-IT,90,90,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Coordinator,FTE,Hour,LATAM-BR,375,375,BRL,OP_Content Lab,Exact Rate Match
Account Management,Account Coordinator,FTE,Hour,APAC-CN,510,510,CNY,OP_Content Lab,Exact Rate Match
Account Management,Account Coordinator,FTE,Hour,NA-CA,95,95,CAD,OP_Content Lab,Exact Rate Match
Account Management,Account Coordinator,FTE,Hour,EU-CH,95,95,CHF,OP_Content Lab,Exact Rate Match
Account Management,Account Coordinator,FTE,Hour,APAC-IN,30,30,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Coordinator,FTE,Hour,APAC-CN-USD,42,42,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Coordinator,FTE,Hour,LATAM-MX,45,45,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Coordinator,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Director,FTE,Hour,UK-LON,145,145,GBP,OP_Content Lab,Exact Rate Match
Account Management,Account Director,FTE,Hour,EU-ES,127,127,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Director,FTE,Hour,EU-FR,190,190,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Director,FTE,Hour,EU-DE,190,190,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Director,FTE,Hour,EU-IT,140,140,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Director,FTE,Hour,LATAM-BR,675,675,BRL,OP_Content Lab,Exact Rate Match
Account Management,Account Director,FTE,Hour,APAC-CN,740,740,CNY,OP_Content Lab,Exact Rate Match
Account Management,Account Director,FTE,Hour,NA-CA,160,160,CAD,OP_Content Lab,Exact Rate Match
Account Management,Account Director,FTE,Hour,EU-CH,190,190,CHF,OP_Content Lab,Exact Rate Match
Account Management,Account Director,FTE,Hour,APAC-IN,30,30,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Director,FTE,Hour,APAC-CN-USD,42,42,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Director,FTE,Hour,LATAM-MX,45,45,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Director,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Executive,FTE,Hour,UK-LON,75,75,GBP,OP_Content Lab,Exact Rate Match
Account Management,Account Executive,FTE,Hour,EU-ES,75,75,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Executive,FTE,Hour,EU-FR,100,100,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Executive,FTE,Hour,EU-DE,95,95,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Executive,FTE,Hour,EU-IT,90,90,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Executive,FTE,Hour,LATAM-BR,375,375,BRL,OP_Content Lab,Exact Rate Match
Account Management,Account Executive,FTE,Hour,APAC-CN,510,510,CNY,OP_Content Lab,Exact Rate Match
Account Management,Account Executive,FTE,Hour,NA-CA,95,95,CAD,OP_Content Lab,Exact Rate Match
Account Management,Account Executive,FTE,Hour,EU-CH,95,95,CHF,OP_Content Lab,Exact Rate Match
Account Management,Account Executive,FTE,Hour,APAC-IN,30,30,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Executive,FTE,Hour,APAC-CN-USD,42,42,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Executive,FTE,Hour,LATAM-MX,45,45,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Executive,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Manager,FTE,Hour,UK-LON,95,95,GBP,OP_Content Lab,Exact Rate Match
Account Management,Account Manager,FTE,Hour,EU-ES,100,100,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Manager,FTE,Hour,EU-FR,140,140,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Manager,FTE,Hour,EU-DE,140,140,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Manager,FTE,Hour,EU-IT,120,120,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Manager,FTE,Hour,LATAM-BR,580,580,BRL,OP_Content Lab,Exact Rate Match
Account Management,Account Manager,FTE,Hour,APAC-CN,775,775,CNY,OP_Content Lab,Exact Rate Match
Account Management,Account Manager,FTE,Hour,NA-CA,122,122,CAD,OP_Content Lab,Exact Rate Match
Account Management,Account Manager,FTE,Hour,EU-CH,140,140,CHF,OP_Content Lab,Exact Rate Match
Account Management,Account Manager,FTE,Hour,APAC-IN,30,30,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Manager,FTE,Hour,APAC-CN-USD,42,42,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Manager,FTE,Hour,LATAM-MX,45,45,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Manager,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
